,experiment_code,metabolite_code,0.0001,0.001,0.01,0.1,1,10,100,1000,10000
171,C0.16,nadh_c,0.0495528,0.0495528,0.0495528,0.0495528,0.0495528,0.0495528,0.0495528,0.0495528,0.0495528
172,C0.16,nadp_c,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002,0.014261700000000002
173,C0.16,nadph_c,0.0531216,0.0531216,0.0531216,0.0531216,0.0531216,0.0531216,0.0531216,0.0531216,0.0531216
174,C0.16,3pg_c,7.65101,7.65101,7.65101,7.65102,7.65677,8.12678,10.6149,10.9376,10.9364
175,C0.16,2pg_c,0.483437,0.483437,0.483437,0.48343800000000003,0.483789,0.513464,0.67111,0.691562,0.691484
176,C0.16,g6p_c,20.3782,20.3782,20.3782,20.3782,20.3782,20.3782,20.3782,20.3782,20.3782
177,C0.16,f6p_c,3.4136599999999997,3.4229199999999995,3.5136199999999995,4.26499,6.50809,6.80395,6.80842,6.80857,6.80857
178,C0.16,fdp_c,1.7084,1.7084,1.70842,1.7099900000000001,1.75557,2.0131,2.12715,2.13605,2.13593
179,C0.16,g3p_c,0.146649,0.146649,0.14665,0.14668399999999998,0.148426,0.158797,0.163441,0.163822,0.16381700000000002
180,C0.16,13dpg_c,0.00915733,0.00915733,0.00915734,0.00915744,0.00916897,0.00975789,0.0127453,0.0131322,0.0131308
181,C0.16,dhap_c,1.3449200000000001,1.3449200000000001,1.3449200000000001,1.3451600000000001,1.36091,1.45592,1.49823,1.50169,1.5016399999999999
182,C0.16,pep_c,1.27948,1.27948,1.27948,1.27948,1.27991,1.35251,1.7608700000000002,1.8139,1.8137
183,C0.16,pyr_c,12.4559,12.4559,12.4559,12.4559,12.4559,12.5078,13.0794,13.1397,13.1395
184,C0.16,pi_c,76.1076,76.1076,76.1076,76.1076,76.1076,76.1076,76.1076,76.1076,76.1076
185,C0.16,6pgl_c,3.54638,3.5464,3.54656,3.54819,3.5644,3.7174300000000002,4.68158,6.0317300000000005,6.11791
186,C0.16,6pgc_c,3.6241,3.6241,3.6241,3.6241199999999996,3.62428,3.62866,3.8031699999999997,4.86691,4.98716
187,C0.16,ru5p-D_c,0.41196400000000005,0.41196400000000005,0.41196400000000005,0.41196499999999997,0.41197700000000004,0.412152,0.418109,0.48527299999999995,0.49392299999999995
188,C0.16,r5p_c,0.904206,0.904206,0.904206,0.904209,0.904236,0.9046209999999999,0.9176799999999999,1.06505,1.08404
189,C0.16,e4p_c,0.320822,0.320822,0.32082,0.320635,0.312766,0.24100100000000002,0.184111,0.189789,0.24018
190,C0.16,xu5p-D_c,1.61069,1.61069,1.61069,1.6107,1.61075,1.61143,1.63447,1.8973099999999998,1.93123
191,C0.16,s7p_c,5.86618,5.86618,5.86618,5.86638,5.8744,5.94758,6.01829,6.1868,7.8301300000000005
192,C0.22,atp_c,4.91638,4.91638,4.91638,4.91638,4.91638,4.91638,4.91638,4.91638,4.91638
193,C0.22,adp_c,0.806258,0.806258,0.806258,0.806258,0.806258,0.806258,0.806258,0.806258,0.806258
194,C0.22,nad_c,8.27281,8.27281,8.27281,8.27281,8.27281,8.27281,8.27281,8.27281,8.27281
195,C0.22,nadh_c,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998,0.017263499999999998
196,C0.22,nadp_c,0.00533266,0.00533266,0.00533266,0.00533266,0.00533266,0.00533266,0.00533266,0.00533266,0.00533266
197,C0.22,nadph_c,0.0289548,0.0289548,0.0289548,0.0289548,0.0289548,0.0289548,0.0289548,0.0289548,0.0289548
198,C0.22,3pg_c,8.80739,8.80739,8.80739,8.80743,8.83441,10.2316,11.8686,11.8686,11.8685
199,C0.22,2pg_c,0.513151,0.513151,0.513151,0.513153,0.514649,0.5952270000000001,0.689934,0.6899390000000001,0.689932
200,C0.22,g6p_c,17.2032,17.2032,17.2032,17.2032,17.2032,17.2032,17.2032,17.2032,17.2032
